request_id,disability_category,accommodation_category,employee_tenure_years,hourly_wage_usd,has_college_degree,is_cost_incurred,accommodation_cost_usd,request_severity_level,remote_work_status,department,hr_reviewer_id,approval_status,denial_reason,days_to_implement,retained_6mo
REQ-1000,Mental Health,Assistive technology,4.3,22.46,1,0,0.0,Medium,Hybrid,Sales,HR-107,Denied,Undue Hardship,,0
REQ-1001,Chronic Medical,Assistive technology,5.6,21.83,1,0,0.0,Low,Remote,Operations,HR-101,Denied,Alternative Offered,,0
REQ-1002,Cognitive/Neurological,Communication aid,7.5,26.43,1,1,2321.51,Medium,Hybrid,Engineering,HR-103,Approved,N/A,16.0,1
REQ-1003,Chronic Medical,Schedule modification,1.6,20.24,1,0,0.0,Low,On-site,Operations,HR-104,Denied,Undue Hardship,,0
REQ-1004,Chronic Medical,Schedule modification,2.3,25.84,0,1,79.8,Low,Hybrid,Operations,HR-104,Approved,N/A,19.0,1
REQ-1005,Sensory,Assistive technology,1.8,30.57,1,0,0.0,High,On-site,Customer Support,HR-105,Approved,N/A,11.0,1
REQ-1006,Cognitive/Neurological,Schedule modification,10.7,24.8,1,0,0.0,Medium,Hybrid,Operations,HR-103,Partially Approved,N/A,21.0,1
REQ-1007,Cognitive/Neurological,Assistive technology,2.3,21.25,0,0,0.0,Medium,Remote,Customer Support,HR-103,Denied,Lack of Documentation,,0
REQ-1008,Cognitive/Neurological,Physical workspace,3.7,17.73,1,0,0.0,Low,Hybrid,Customer Support,HR-101,Partially Approved,N/A,10.0,1
REQ-1009,Chronic Medical,Physical workspace,2.5,21.12,1,0,0.0,High,Remote,Customer Support,HR-107,Approved,N/A,6.0,1
REQ-1010,Mental Health,Assistive technology,5.8,25.32,0,1,556.76,Medium,On-site,Customer Support,HR-110,Approved,N/A,24.0,1
REQ-1011,Cognitive/Neurological,Assistive technology,1.6,14.84,1,1,534.83,Medium,Hybrid,Sales,HR-101,Denied,Lack of Documentation,,0
REQ-1012,Chronic Medical,Assistive technology,2.1,26.66,1,0,0.0,Medium,Hybrid,Sales,HR-102,Approved,N/A,65.0,1
REQ-1013,Sensory,Physical workspace,1.2,23.54,1,1,1224.47,Low,On-site,Sales,HR-104,Partially Approved,N/A,14.0,1
REQ-1014,Mental Health,Schedule modification,12.6,21.75,1,1,124.69,Low,Remote,Customer Support,HR-104,Partially Approved,N/A,33.0,1
REQ-1015,Sensory,Physical workspace,1.0,19.2,1,1,1591.97,Medium,On-site,Engineering,HR-105,Approved,N/A,26.0,1
REQ-1016,Mental Health,Communication aid,12.3,20.12,1,0,0.0,Low,Hybrid,Finance,HR-102,Approved,N/A,16.0,1
REQ-1017,Chronic Medical,Assistive technology,0.7,25.49,1,0,0.0,Low,Hybrid,Operations,HR-104,Approved,N/A,7.0,1
REQ-1018,Physical/Mobility,Communication aid,4.6,21.86,1,0,0.0,High,Hybrid,Sales,HR-101,Approved,N/A,13.0,1
REQ-1019,Mental Health,Assistive technology,8.5,19.99,0,0,0.0,Medium,On-site,Engineering,HR-102,Approved,N/A,44.0,1
REQ-1020,Sensory,Assistive technology,3.8,24.84,0,0,0.0,Medium,Hybrid,Operations,HR-101,Approved,N/A,9.0,0
REQ-1021,Chronic Medical,Physical workspace,11.3,25.04,1,1,1308.34,Medium,Hybrid,Operations,HR-110,Approved,N/A,31.0,1
REQ-1022,Mental Health,Physical workspace,2.5,16.25,1,0,0.0,Medium,Remote,Operations,HR-110,Partially Approved,N/A,9.0,1
REQ-1023,Physical/Mobility,Policy modification,10.7,25.36,0,0,0.0,Low,On-site,Sales,HR-104,Approved,N/A,14.0,1
REQ-1024,Physical/Mobility,Schedule modification,4.9,35.01,1,1,97.17,Low,On-site,Sales,HR-104,Approved,N/A,11.0,0
REQ-1025,Cognitive/Neurological,Assistive technology,2.8,24.85,1,1,392.09,Low,Hybrid,Engineering,HR-107,Partially Approved,N/A,23.0,1
REQ-1026,Cognitive/Neurological,Physical workspace,4.7,14.0,0,0,0.0,Low,On-site,Engineering,HR-110,Denied,Undue Hardship,,1
REQ-1027,Sensory,Policy modification,7.4,23.39,1,1,124.28,Medium,Hybrid,Operations,HR-109,Approved,N/A,19.0,0
REQ-1028,Mental Health,Schedule modification,1.2,13.35,0,0,0.0,Low,Hybrid,Operations,HR-109,Partially Approved,N/A,37.0,0
